"","Gene","Scaffold","Gene_Start","Gene_End","Score","Strand","note","Function","Additional_info","Gene_size","A_thaliana_orthologue","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"38","g00472","scaffold_1",2207891,2209021,0.24,"-",".","BnaC07g45080D protein","ahrd-qc=***",1130,"AT4G34560",300.970882911359,-0.900084862107293,0.249140355838517,-3.61276220818555,0.00030295250454046,0.00309137220167923
"39","g00473","scaffold_1",2212686,2214132,0.49,"+",".","40S ribosomal protein S25-3","ahrd-qc=***",1446,"AT4G34555",430.355899928132,-0.562933632793113,0.187886610980044,-2.99613490209212,0.00273425442509844,0.0201019373086932
"40","g00478","scaffold_1",2227044,2228701,0.64,"-",".","3-ketoacyl-CoA synthase 17","ahrd-qc=***",1657,"AT4G34510",20.1504726716804,-7.89857675875186,1.27782873508915,-6.18124834874745,6.35966759882627e-10,1.97496014096224e-08
"41","g00481","scaffold_1",2237186,2240395,0.75,"+",".","Glucan endo-1%2C3-beta-glucosidase 7","ahrd-qc=***",3209,"AT4G34480",988.069683109536,0.72640488393659,0.269219239574079,2.69819083170209,0.00697174627874585,0.0432472330349298
"42","g00483","scaffold_1",2247366,2249787,0.11,"+",".","Guanine nucleotide-binding protein subunit beta","ahrd-qc=***",2421,NA,139.796563459588,-0.751182367813051,0.271220022444357,-2.76964200888657,0.00561179349194075,0.0363477342023174
"43","g00490","scaffold_1",2288939,2290334,0.2,"+",".","EKC/KEOPS complex subunit CGI121","ahrd-qc=***",1395,"AT4G34412",108.929659421113,0.990420890571454,0.280829361640855,3.52677114951419,0.000420660188030748,0.00411830099027215
"44","g00516","scaffold_1",2381459,2383191,0.07,"+",".","Carbohydrate esterase plant-like protein","ahrd-qc=***",1732,"AT4G34215",172.335565141786,-0.925062661025772,0.228581598704065,-4.04696907480909,5.18850929644385e-05,0.000655869396807905
"45","g00520","scaffold_1",2397749,2399313,0.8,"+",".","Kynurenine formamidase-like protein","ahrd-qc=***",1564,"AT4G34180",910.779380898148,-0.930159953486925,0.211494308691201,-4.39803774977715,1.09233982828639e-05,0.000161609616576428
"46","g00526","scaffold_1",2431640,2434184,0.27,"-",".","AT4g34150/F28A23_90","ahrd-qc=***",2544,"AT4G34150",545.672306098443,1.30826240403409,0.197457451332761,6.62554082007961,3.45979105107452e-11,1.31335971336705e-09
"47","g00528","scaffold_1",2440346,2442195,0.31,"+",".","Glycosyltransferase","ahrd-qc=***",1849,"AT4G34138",21.1628687543387,1.69086682612797,0.629246038787149,2.68713145876462,0.00720685829279509,0.0443630770460326
"48","g00530","scaffold_1",2446706,2448478,0.23,"+",".","Glycosyltransferase","ahrd-qc=***",1772,"AT4G34131",186.408753085783,1.90174982568472,0.466906105664073,4.07308836319435,4.63938124588619e-05,0.000593935480723349
"49","g00536","scaffold_1",2467712,2473631,0.24,"-",".","DEMETER-like protein 3","ahrd-qc=***",5919,"AT4G34060",186.365802207641,0.742165625850924,0.221154570580245,3.35586835896585,0.000791162179230646,0.00712045961307581
"50","g00558","scaffold_1",2571306,2573010,0.22,"+",".","Transcription factor bHLH85","ahrd-qc=***",1704,"AT4G33880",154.524953507507,-1.09680664512635,0.252970394439376,-4.33571148733452,1.45289407623619e-05,0.000210000104613586
"51","g00568","scaffold_1",2635470,2636269,0.41,"-",".","V-type proton ATPase 16 kDa proteolipid subunit","ahrd-qc=***",799,NA,40.2575799512336,-1.90828461085996,0.414529111093786,-4.60349963317347,4.15449928734949e-06,6.75159948951901e-05
"52","g00570","scaffold_1",2643275,2648959,0.04,"-",".","BnaC07g44480D protein","ahrd-qc=***",5684,"AT4G33740",880.197367528526,-0.648937342006536,0.176597364531764,-3.67467172416275,0.000238155421935218,0.00250033299045962
"53","g00603","scaffold_1",2756794,2759727,0.16,"+",".","Histone deacetylase 14","ahrd-qc=***",2933,"AT4G33470",54.4272142833348,1.98249822390671,0.373891337280204,5.30233794216251,1.14328945389745e-07,2.49239087551648e-06
"54","g00615","scaffold_1",2794474,2797248,0.11,"+",".","NAD(P)-binding Rossmann-fold superfamily protein","ahrd-qc=***",2774,"AT4G33360",483.576596029006,0.527023698989245,0.174953289897955,3.01236804004453,0.00259218110018719,0.0192777143348835
"55","g00624","scaffold_1",2819093,2821265,0.33,"+",".","B3 domain-containing protein REM16","ahrd-qc=***",2172,"AT4G33280",92.8040802317103,4.82124757604193,0.433805078281778,11.1138569311775,1.0741743061707e-28,2.34375492960307e-26
"56","g00627","scaffold_1",2827913,2829776,0.32,"+",".","Cinnamoyl-CoA reductase%2C putative","ahrd-qc=***",1863,"AT5G19440",770.808997072602,1.53584233305786,0.242137555966588,6.34285056247032,2.25552196808161e-10,7.56625096565559e-09
"57","g00632","scaffold_1",2849879,2853778,0.14,"-",".","Pectinesterase","ahrd-qc=***",3899,"AT4G33220",119.230297115981,-1.23098555751239,0.402674235234384,-3.0570258779926,0.00223544975930781,0.0170078548697852
"58","g00642","scaffold_1",2904673,2906297,0.32,"+",".","BnaC01g05110D protein","ahrd-qc=***",1624,"AT4G33130",46.3392822096308,-0.982650710264859,0.35343546481155,-2.78028327120144,0.00543114992823386,0.0353327492868146
"59","g00643","scaffold_1",2907643,2910122,0.4,"+",".","Cyclopropane-fatty-acyl-phospholipid synthase","ahrd-qc=***",2479,"AT4G33110",203.802227648913,1.34670690994851,0.263310635549604,5.11451771455244,3.1454357223049e-07,6.38553989838791e-06
"60","g00675","scaffold_1",3072512,3084435,0.06,"-",".","Myosin-15","ahrd-qc=*-*",11923,NA,525.02826004267,0.626048892643584,0.17362284139826,3.60579799064306,0.000311195156008336,0.00316390148077843
"61","g00682","scaffold_1",3126833,3130365,0.34,"+",".","ATP-dependent 6-phosphofructokinase 6","ahrd-qc=***",3532,"AT4G32840",497.648121502874,-12.5301093866213,1.22969432235259,-10.1896131086052,2.20640532072001e-24,3.84466127135463e-22
"62","g00690","scaffold_1",3184855,3187828,0.25,"-",".","Tocopherol cyclase","ahrd-qc=***",2973,"AT4G32770",15.4442720068821,3.29248987200137,0.702925724607083,4.68397976733856,2.81357793251369e-06,4.71283694810637e-05
"63","g00694","scaffold_1",3219861,3231788,0.17,"-",".","DNA polymerase theta%2C putative","ahrd-qc=***",11927,"AT4G32700",291.78891453751,-0.574243982396846,0.209237748574845,-2.74445689799342,0.00606111132987563,0.0387380044547222
"64","g00708","scaffold_1",3288063,3290580,0.13,"+",".","Protein TIFY 8","ahrd-qc=***",2517,"AT4G32570",129.564567266778,-0.902488811991223,0.264967793618494,-3.40603210551183,0.000659144273257149,0.0061052964579433
"65","g00712","scaffold_1",3314390,3318217,0.27,"+",".","Transducin family protein","ahrd-qc=***",3827,"AT3G26480",20.9399965720141,3.33246048778301,0.657293357939044,5.06997438439361,3.97869247930831e-07,7.91072517359779e-06
"66","g00713","scaffold_1",3318362,3319455,0.15,"-",".","RPW8 domain-containing powdery mildew resistance protein","ahrd-qc=***",1093,"AT3G26470",204.892261290758,-1.38502386227463,0.432606737035437,-3.20157719171437,0.00136677449633515,0.011283731331325
"67","g00781","scaffold_1",3630560,3632702,0.6,"-",".","Cytochrome P450 82C4","ahrd-qc=***",2142,"AT4G31940",878.864325358057,1.37484364661022,0.474484309583189,2.89755344664178,0.00376085651860855,0.0261622987981496
"68","g00784","scaffold_1",3641527,3644263,0.44,"+",".","Two-component response regulator ARR10","ahrd-qc=***",2736,"AT4G31920",603.58846948604,0.656887165094499,0.209163398491815,3.14054547703385,0.00168633523607254,0.0134971367602973
"69","g00792","scaffold_1",3691231,3694548,0.42,"+",".","Unknown protein","",3317,"AT4G31875",691.679099354696,-1.13712313915924,0.228109975523218,-4.98497769135706,6.19689624740287e-07,1.17530249916729e-05
"70","g00812","scaffold_1",3771501,3774917,0.42,"+",".","Glutamate receptor 2.1","ahrd-qc=***",3416,"AT5G27100",121.409946687244,-0.868066534434926,0.254436065176911,-3.41172755454834,0.000645525967839976,0.00600131070212697
"71","g00820","scaffold_1",3814738,3816306,0.27,"-",".","B3 domain-containing protein REM5","ahrd-qc=***",1568,"AT4G31640",12.9666956843345,-3.05993640555141,1.1381152700288,-2.68859972810485,0.00717523992696491,0.0442361474809345
"72","g00827","scaffold_1",3846732,3848779,0.1,"+",".","GDP-mannose transporter GONST3","ahrd-qc=***",2047,"AT4G31600",203.715641639464,-0.659163245430605,0.226803845207678,-2.90631424183761,0.00365713969687158,0.025568389321232
"73","g00840","scaffold_1",3901633,3904987,0.19,"-",".","NAD(P)-binding Rossmann-fold superfamily protein","ahrd-qc=***",3354,"AT4G31530",158.780457626591,0.783747986604246,0.248829041180529,3.14974483237921,0.00163413120743556,0.0131421859797991
"74","g00841","scaffold_1",3907372,3916641,0.09,"+",".","SDA1 family protein","ahrd-qc=***",9269,NA,1085.56411343279,1.72083000259126,0.165788758535658,10.3796543130585,3.0688437101385e-25,5.746524356328e-23
"75","g00842","scaffold_1",3918962,3926006,0.01,"+",".","SDA1 family protein","ahrd-qc=***",7044,"AT4G31520",640.767900766787,0.718331634764164,0.162191320530934,4.42891538469939,9.47081680661603e-06,0.000142471064335497
"76","g00850","scaffold_1",3950972,3951802,0.53,"+",".","Cysteine-rich venom protein","ahrd-qc=***",830,"AT4G31470",28.7279869023774,-4.03919726607641,0.742219295300266,-5.44205370522245,5.26697902034405e-08,1.21135689806116e-06
"77","g00869","scaffold_1",4054839,4057574,0.69,"+",".","Receptor-like protein kinase","ahrd-qc=***",2735,"AT4G31250",236.974606460314,-0.64383668426791,0.214257311892868,-3.00496948542805,0.00265607494863479,0.0196282626195226
"78","g00893","scaffold_1",4143657,4146274,0.3,"-",".","Calcineurin-like metallo-phosphoesterase superfamily protein","ahrd-qc=***",2617,"AT4G30993",122.250450395895,-1.65468320042639,0.239996541128887,-6.89461270001289,5.40117516699582e-12,2.33263833546057e-10
"79","g00894","scaffold_1",4146521,4160334,0.32,"-",".","Down-regulated in metastasis (DRIM) domain-containing protein","ahrd-qc=***",13813,"AT4G30990",555.316067946165,0.480976243830158,0.15285077884905,3.1467045667144,0.00165121709578877,0.0132498686816539
"80","g00899","scaffold_1",4192240,4195024,0.66,"+",".","Fatty-acid desaturase","ahrd-qc=***",2784,"AT4G30950",220.959457051478,-0.625510457203479,0.207849624873212,-3.00943750841522,0.00261731915697508,0.019435860398585
"81","g00912","scaffold_1",4232951,4238825,0.12,"-",".","Histone-lysine N-methyltransferase","ahrd-qc=***",5874,"AT4G30860",117.222167979339,-1.44346624321271,0.245765398573763,-5.87335016072036,4.27075051989254e-09,1.16480078309939e-07
"82","g00917","scaffold_1",4247692,4250745,0.19,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",3053,"AT4G30825",71.15784786316,-1.55844748789534,0.320430039807373,-4.8636123156,1.15262570972977e-06,2.07323901853329e-05
"83","g00918","scaffold_1",4255020,4256974,0.15,"+",".","Cysteine/histidine-rich C1 domain-containing protein","ahrd-qc=***",1954,NA,45.3124804854957,-9.07009250466803,1.24385576325108,-7.29191661335511,3.05576284731194e-13,1.53966267800705e-11
"84","g00919","scaffold_1",4260935,4263185,0.11,"-",".","Unknown protein","",2250,"AT4G30820",75.2072687666321,-1.03937317189833,0.273583800206708,-3.79910349630726,0.000145220443431803,0.0016332906170286
"85","g00926","scaffold_1",4291200,4292414,0.37,"+",".","Unknown protein","",1214,NA,77.8129630909202,1.38913461036952,0.420093320696735,3.30672862892846,0.000943922869652611,0.00828143798787529
"86","g00928","scaffold_1",4295740,4296971,0.31,"+",".","Unknown protein","",1231,"AT4G30750",18.271723573928,4.60651399507176,0.872498793514368,5.27967950135154,1.29410046693779e-07,2.7848686892284e-06
"87","g00948","scaffold_2",76796,78137,0.26,"+",".","Sulfotransferase","ahrd-qc=***",1341,"AT1G74090",171.771603225799,-1.8686669182478,0.432209192669111,-4.32352423304058,1.53556262292822e-05,0.000219671250481841
"88","g00952","scaffold_2",95958,97611,0.09,"-",".","Mitochondrial transcription termination factor family protein","ahrd-qc=***",1653,"AT1G74120",38.2035112541001,1.6453817390285,0.502401521566561,3.27503335160682,0.00105649499983844,0.00908484322684926
"89","g00958","scaffold_2",124824,128661,0.14,"-",".","Leucine-rich receptor-like kinase family protein%2C putative","ahrd-qc=***",3837,"AT1G74170",29.9520607201056,2.39339765688877,0.618995076145309,3.86658593763502,0.000110369582848137,0.00128331490863089
"90","g00971","scaffold_2",179416,180770,0.31,"+",".","Hydrolase%2C alpha/beta fold family protein","ahrd-qc=***",1354,"AT1G74300",57.0021594655571,-2.46577546391849,0.39001913109357,-6.32219106023011,2.57880244317787e-10,8.50293178767663e-09
"91","g00972","scaffold_2",180794,184381,0.26,"-",".","Chaperone clpb%2C putative","ahrd-qc=***",3587,"AT1G74310",704.144277889087,1.33123310950641,0.469738272689387,2.83398902517506,0.0045970910750208,0.0308588039738956
"92","g00982","scaffold_2",225706,227973,0.19,"-",".","Galactoside 2-alpha-L-fucosyltransferase","ahrd-qc=***",2267,"AT1G74420",35.9797746280209,-1.07518285272784,0.397874874482165,-2.70231402303851,0.0068858694318699,0.0428416156172773
"93","g00988","scaffold_2",260588,262392,0.35,"+",".","Geranylgeranyl reductase","ahrd-qc=***",1804,"AT1G74470",182.978575778798,-1.16234375299047,0.332029394164015,-3.50072545810899,0.000463993574839837,0.0044813421015709
"94","g00999","scaffold_2",299819,300833,0.31,"-",".","Glutathione S-transferase U10","ahrd-qc=***",1014,"AT1G74590",964.652215374074,-0.895717916736184,0.28624164957191,-3.12923684612557,0.00175260978177691,0.0139210144489858
"95","g01002","scaffold_2",315558,318012,0.02,"+",".","Myosin heavy chain-like protein","ahrd-qc=***",2454,NA,18.1714642358692,6.5454844585912,1.29509217209524,5.05406842819666,4.32496536228013e-07,8.52490423176222e-06
"96","g01005","scaffold_2",354618,355336,0.49,"+",".","Gibberellin-regulated protein 6","ahrd-qc=***",718,"AT1G74670",57.7286870886426,-1.23156811328887,0.388932887660048,-3.16653117379298,0.0015426880997737,0.0125150759131981
"97","g01013","scaffold_2",390107,393642,0.26,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",3535,"AT1G74750",91.6304616684344,1.03494666073306,0.383863847079476,2.69612954855522,0.00701503781582124,0.0434406043619414
"98","g01048","scaffold_2",551971,556797,0.23,"-",".","Nucleotide-diphospho-sugar transferase family protein","ahrd-qc=*-*",4826,"AT1G75110",193.395670476676,-1.29506012541697,0.423944845482812,-3.05478445891253,0.00225222319885055,0.0171043536639098
"99","g01051","scaffold_2",563564,565567,0.56,"-",".","Cytochrome P450 family protein","ahrd-qc=***",2003,"AT1G75130",205.922374646555,-0.704460189611933,0.19038660904126,-3.70015618829192,0.000215466813879097,0.0022938028399891
"100","g01052","scaffold_2",565675,567877,0.21,"-",".","F18O14.9","ahrd-qc=***",2202,"AT1G75140",237.887939610678,-0.802059293973534,0.254603562623496,-3.15022808679078,0.0016314304165967,0.013124672014506
"101","g01054","scaffold_2",573022,575604,0.05,"+",".","BnaA02g17150D protein","ahrd-qc=***",2582,"AT1G75160",49.9584490928791,-1.76350653497096,0.443388628470847,-3.97733821242307,6.96910083549237e-05,0.000851356758345543
"102","g01074","scaffold_2",674608,677307,0.26,"-",".","Zinc finger CCCH domain-containing protein 16","ahrd-qc=***",2699,"AT1G75340",179.322995362686,0.604499566907356,0.195129460607706,3.09794105423507,0.00194870184644557,0.0151477158398427
"103","g01128","scaffold_2",958506,961838,0.54,"-",".","Receptor protein kinase","ahrd-qc=***",3332,"AT1G75820",1598.59281404263,0.820607305027319,0.164021663667333,5.00304219991126,5.64325811895493e-07,1.08009635942652e-05
"104","g01131","scaffold_2",972333,972877,0.43,"+",".","Defensin-like protein 1","ahrd-qc=***",544,NA,13.8414835931358,3.57050506088931,0.988393872649702,3.61243139975913,0.000303339369458431,0.003094061568476
"105","g01148","scaffold_2",1058870,1060647,0.78,"+",".","Acyl-CoA synthetase","ahrd-qc=***",1777,"AT1G75960",41.0945979757418,0.913995139746199,0.345603856500646,2.64463235161987,0.0081779717729761,0.0488459099565618
"106","g01157","scaffold_2",1084198,1085085,0.21,"-",".","Unknown protein","",887,"AT1G76065",20.7908174518903,-1.71931356977318,0.511677519493636,-3.36015068919705,0.000778999707728355,0.00703117290155391
"107","g01186","scaffold_2",1209100,1216244,0.07,"+",".","Plant regulator RWP-RK family protein%2C putative","ahrd-qc=***",7144,"AT1G76350",561.70669135876,-0.981259271356446,0.166517560849202,-5.8928275573594,3.79642535483579e-09,1.04223090813501e-07
"108","g01197","scaffold_2",1281532,1283003,0.08,"+",".","Unknown protein","",1471,NA,89.1905679346647,-2.96626946986701,0.321115550428772,-9.23738967454636,2.52583797360789e-20,3.0180155444652e-18
"109","g01198","scaffold_2",1286802,1291480,0.21,"+",".","BnaA07g32770D protein","ahrd-qc=***",4678,"AT1G76450",172.640280360783,0.961192178348283,0.297005287198471,3.23627968853623,0.0012109866569049,0.0102448001331955
"110","g01210","scaffold_2",1342722,1344566,0.12,"+",".","Chlorophyll a-b binding protein 4%2C chloroplastic","ahrd-qc=***",1844,"AT1G76570",287.915561035662,0.725052255139994,0.246074292960521,2.94647704324124,0.00321416276444646,0.0229705987141813
"111","g01221","scaffold_2",1409323,1410747,0.45,"+",".","12-oxophytodienoate reductase 1","ahrd-qc=***",1424,NA,91.8933714021722,-1.15156363903419,0.288496607862072,-3.99160200727469,6.5628447608003e-05,0.000806834398520338
"112","g01223","scaffold_2",1413063,1414681,0.26,"+",".","12-oxophytodienoate reductase 1","ahrd-qc=***",1618,"AT1G76690",282.354238764112,-2.06236377575931,0.242594375924624,-8.50128436777986,1.87504415848647e-17,1.59486806863534e-15
"113","g01229","scaffold_2",1437393,1441900,1.97,"+",".","BnaA07g33030D protein","ahrd-qc=*-*",4507,"AT1G76740",72.0576018486877,-1.29965312704915,0.363251991002675,-3.57782795205541,0.000346461373532012,0.00346177282953187
"114","g01231","scaffold_2",1443134,1444348,0.13,"-",".","Thioredoxin Y1%2C chloroplastic","ahrd-qc=***",1214,"AT1G76760",110.318116704782,0.954036650765826,0.288738705232006,3.30415227843888,0.00095264071604173,0.00834625029571197
"115","g01264","scaffold_2",1680215,1681750,0.14,"-",".","Photosystem II reaction center PsbP family protein","ahrd-qc=***",1535,"AT1G77090",53.514558682676,-5.8557488715481,0.721681224448114,-8.11403798959316,4.89648217563613e-16,3.5305324928466e-14
"116","g01274","scaffold_2",1728405,1730712,0.11,"+",".","BnaC02g40770D protein","ahrd-qc=***",2307,NA,5.61186206263748,5.82664465663537,1.58213779192108,3.68276687807355,0.000230716128329765,0.00243588407300193
"117","g01282","scaffold_2",1757375,1761479,0.07,"+",".","T14N5.12 protein","ahrd-qc=***",4104,"AT1G77270",101.088038883156,0.922929549099753,0.25150416856942,3.66963917277978,0.00024289307259258,0.00254368655154132
"118","g01295","scaffold_2",1833455,1835892,0.66,"-",".","Amino acid permease 3","ahrd-qc=***",2437,"AT1G77380",306.868876811289,-0.861811787151961,0.280680543473933,-3.07043650580646,0.0021374612838818,0.0164066009590585
