"Gene","Scaffold","Gene_Start","Gene_End","Score","Strand","note","Function","Additional_info","Gene_size","A_thaliana_orthologue"
"g00024","scaffold_1",93076,95200,0.18,"+",".","Glutamyl-tRNA (Gln) amidotransferase subunit C%2C mitochondrial","ahrd-qc=***",2124,"AT5G17460"
"g00025","scaffold_1",95619,97291,0.45,"-",".","Heavy metal transport/detoxification domain-containing protein","ahrd-qc=***",1672,"AT5G17450"
"g00026","scaffold_1",99085,103131,0.2,"-",".","RNA-binding protein Luc7-like 2%2C putative%2C expressed","ahrd-qc=***",4046,"AT5G17440"
"g00027","scaffold_1",111406,115075,0.09,"+",".","AP2-like ethylene-responsive transcription factor BBM","ahrd-qc=***",3669,"AT5G17430"
"g00028","scaffold_1",116226,121192,0.21,"+",".","Cellulose synthase","ahrd-qc=***",4966,"AT5G17420"
"g00029","scaffold_1",121257,127331,0.82,"-",".","Gamma-tubulin complex component 2","ahrd-qc=***",6074,"AT5G17410"
"g00030","scaffold_1",127556,129218,0.19,"+",".","ADP%2CATP carrier protein%2C putative","ahrd-qc=***",1662,"AT5G17400"
"g00031","scaffold_1",129267,130531,0.36,"-",".","Adenine nucleotide alpha hydrolases-like superfamily protein","ahrd-qc=***",1264,"AT5G17390"
"g00032","scaffold_1",131496,133477,0.66,"+",".","Oxalyl-CoA decarboxylase","ahrd-qc=***",1981,"AT5G17380"
"g00033","scaffold_1",133546,136724,0.29,"+",".","DDB1-and CUL4-associated factor 4","ahrd-qc=***",3178,"AT5G17370"
"g00034","scaffold_1",137081,137941,0.09,"-",".","At5g17360","ahrd-qc=***",860,"AT5G17360"
"g00035","scaffold_1",140551,141281,0.7,"-",".","BnaC09g40590D protein","ahrd-qc=***",730,"AT5G17350"
"g00036","scaffold_1",144436,145131,0.91,"+",".","At5g17340","ahrd-qc=***",695,"AT5G17340"
"g00038","scaffold_1",147637,151531,0.24,"-",".","Glutamate decarboxylase 1","ahrd-qc=***",3894,"AT5G17330"
"g00039","scaffold_1",161186,165105,0.24,"+",".","Homeobox-leucine zipper protein HDG9","ahrd-qc=***",3919,"AT5G17320"
"g00040","scaffold_1",186333,189074,0.14,"+",".","Protein REVEILLE 1","ahrd-qc=***",2741,"AT5G17300"
"g00041","scaffold_1",189343,192154,0.33,"+",".","Autophagy protein 5","ahrd-qc=***",2811,"AT5G17290"
"g00042","scaffold_1",192238,192848,0.2,"-",".","UPF0651 protein YPL107W%2C mitochondrial","ahrd-qc=*-*",610,"AT5G17280"
"g00044","scaffold_1",199650,207408,0.08,"-",".","Tetratricopeptide repeat-containing protein","ahrd-qc=***",7758,"AT5G17270"
"g00045","scaffold_1",210953,214234,0.34,"+",".","NAC domain-containing protein 86","ahrd-qc=***",3281,"AT5G17260"
"g00046","scaffold_1",215823,220547,0.22,"+",".","GPI ethanolamine phosphate transferase 3","ahrd-qc=***",4724,"AT5G17250"
"g00047","scaffold_1",220579,222588,0.14,"-",".","Protein SET DOMAIN GROUP 40","ahrd-qc=***",2009,"AT5G17240"
"g00048","scaffold_1",233993,237214,0.45,"+",".","Phytoene synthase","ahrd-qc=***",3221,"AT5G17230"
"g00049","scaffold_1",238064,238998,0.47,"-",".","Glutathione S-transferase 26","ahrd-qc=***",934,"AT5G17220"
"g00050","scaffold_1",239618,241328,0.05,"-",".","Dbj|BAA92731.1","ahrd-qc=***",1710,"AT5G17210"
"g00051","scaffold_1",242943,245211,0.16,"+",".","Glycoside hydrolase family 28 protein","ahrd-qc=***",2268,"AT5G17200"
"g00052","scaffold_1",245538,246358,0.28,"-",".","Integral to membrane%2C endoplasmic reticulum","ahrd-qc=***",820,"AT5G17190"
"g00053","scaffold_1",246850,247478,0.36,"-",".","Unknown protein","",628,"AT5G17180"
"g00054","scaffold_1",247994,249878,0.06,"-",".","Rubredoxin family protein","ahrd-qc=***",1884,"AT5G17170"
"g00055","scaffold_1",250523,251961,0.43,"+",".","Unknown protein","",1438,"AT5G17165"
"g00057","scaffold_1",254773,257551,0.69,"+",".","At5g17160","ahrd-qc=***",2778,"AT5G17160"
"g00058","scaffold_1",257653,258775,0.24,"+",".","Cystatin/monellin superfamily protein","ahrd-qc=***",1122,"AT5G17150"
"g00059","scaffold_1",264223,266992,0.24,"+",".","Cystatin-related protein","ahrd-qc=***",2769,"AT5G17110"
"g00060","scaffold_1",270203,271565,0.3,"+",".","Cystatin-related protein","ahrd-qc=***",1362,NA
"g00061","scaffold_1",272276,274188,0.15,"-",".","Unknown protein","",1912,NA
"g00063","scaffold_1",280773,283479,0.29,"+",".","Serine/threonine-protein phosphatase 4 regulatory subunit 2","ahrd-qc=*-*",2706,"AT5G17070"
"g00064","scaffold_1",284213,286318,0.17,"-",".","ADP-ribosylation factor","ahrd-qc=***",2105,"AT5G17060"
"g00065","scaffold_1",291283,293250,0.17,"+",".","Glycosyltransferase","ahrd-qc=***",1967,"AT5G17050"
"g00068","scaffold_1",304563,306568,0.05,"+",".","Glycosyltransferase","ahrd-qc=***",2005,"AT5G17030"
"g00069","scaffold_1",307524,315748,0.67,"-",".","Protein EXPORTIN 1A","ahrd-qc=***",8224,"AT5G17020"
"g00070","scaffold_1",320483,325271,0.55,"+",".","Sugar transporter family protein","ahrd-qc=***",4788,"AT5G17010"
"g00071","scaffold_1",325863,328073,0.11,"+",".","NADP-dependent alkenal double bond reductase P1","ahrd-qc=***",2210,"AT5G17000"
"g00072","scaffold_1",329933,332144,0.29,"+",".","NADP-dependent alkenal double bond reductase P1","ahrd-qc=***",2211,NA
"g00073","scaffold_1",332833,334816,0.25,"+",".","NADP-dependent alkenal double bond reductase P1","ahrd-qc=***",1983,"AT5G16970"
"g00075","scaffold_1",340170,340738,0.37,"-",".","Unknown protein","",568,"AT5G16950"
"g00076","scaffold_1",340863,341665,0.46,"+",".","Carbon-sulfur lyase","ahrd-qc=***",802,"AT5G16940"
"g00077","scaffold_1",341705,344968,0.13,"-",".","ATPase family AAA domain-containing protein 3","ahrd-qc=***",3263,"AT5G16930"
"g00078","scaffold_1",345598,346458,0.08,"-",".","At5g16920","ahrd-qc=***",860,"AT5G16920"
"g00079","scaffold_1",347694,352458,0.15,"-",".","Cellulose synthase-like protein D2","ahrd-qc=***",4764,"AT5G16910"
"g00080","scaffold_1",353914,357258,0.2,"-",".","Exostosin family protein","ahrd-qc=***",3344,"AT5G16890"
"g00081","scaffold_1",357344,359898,0.24,"-",".","Vacuolar protein sorting-associated protein 27","ahrd-qc=***",2554,"AT5G16880"
"g00082","scaffold_1",361095,363259,0.15,"+",".","Peptidyl-tRNA hydrolase 2%2C mitochondrial","ahrd-qc=***",2164,"AT5G16870"
"g00083","scaffold_1",363263,366570,0.49,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",3307,"AT5G16860"
"g00084","scaffold_1",366755,372513,0.02,"+",".","Telomerase reverse transcriptase","ahrd-qc=***",5758,"AT5G16850"
"g00085","scaffold_1",372575,375050,0.48,"-",".","RNA recognition motif-containing protein","ahrd-qc=***",2475,"AT5G16840"
"g00086","scaffold_1",379845,382221,0.6,"+",".","Syntaxin-21","ahrd-qc=***",2376,"AT5G16830"
"g00087","scaffold_1",382360,384790,0.24,"-",".","Heat shock transcription factor","ahrd-qc=***",2430,"AT5G16820"
"g00088","scaffold_1",385775,388845,0.3,"+",".","ATP binding protein","ahrd-qc=***",3070,"AT5G16810"
"g00089","scaffold_1",389435,391329,0.12,"+",".","N-alpha-acetyltransferase 60","ahrd-qc=***",1894,"AT5G16800"
"g00090","scaffold_1",392975,394492,0.23,"+",".","THO complex subunit 7A","ahrd-qc=***",1517,"AT5G16790"
"g00091","scaffold_1",394845,399473,0.28,"+",".","U4/U6.U5 tri-snRNP-associated 1","ahrd-qc=***",4628,"AT5G16780"
"g00092","scaffold_1",408478,410520,0.11,"-",".","MYB transcription factor","ahrd-qc=***",2042,"AT5G16770"
"g00093","scaffold_1",417026,418380,0.07,"-",".","Inositol-tetrakisphosphate 1-kinase 1","ahrd-qc=***",1354,"AT5G16760"
"g00094","scaffold_1",418685,423759,0.46,"+",".","Transducin beta-like protein 3","ahrd-qc=***",5074,"AT5G16750"
"g00095","scaffold_1",427185,429737,0.32,"+",".","Amino acid transporter family protein","ahrd-qc=***",2552,"AT5G16740"
"g00096","scaffold_1",429740,432920,0.43,"-",".","WEB family protein At5g16730%2C chloroplastic","ahrd-qc=***",3180,"AT5G16730"
"g00097","scaffold_1",434598,437190,0.17,"-",".","Myosin-binding protein 3","ahrd-qc=***",2592,"AT5G16720"
"g00098","scaffold_1",438807,446880,0.22,"-",".","Valine--tRNA ligase","ahrd-qc=***",8073,"AT5G16715"
"g00099","scaffold_1",447849,449590,0.21,"-",".","Dehydroascorbate reductase","ahrd-qc=***",1741,"AT5G16710"
"g00100","scaffold_1",458671,463150,0.16,"-",".","Glycosyl hydrolase family 5 protein","ahrd-qc=***",4479,"AT5G16700"
"g00101","scaffold_1",463311,469230,0.18,"-",".","Origin recognition complex subunit 3","ahrd-qc=***",5919,"AT5G16690"
"g00102","scaffold_1",469995,476286,0.39,"+",".","RING/FYVE/PHD zinc finger-containing protein","ahrd-qc=***",6291,"AT5G16680"
"g00103","scaffold_1",476605,478053,0.61,"+",".","BnaA03g06140D protein","ahrd-qc=***",1448,"AT5G16660"
"g00104","scaffold_1",478305,480441,0.16,"+",".","Chaperone protein DnaJ","ahrd-qc=*-*",2136,"AT5G16650"
"g00105","scaffold_1",480482,486220,0.05,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",5738,"AT5G16640"
"g00107","scaffold_1",499630,508450,0.04,"-",".","DNA repair protein Rad4 family","ahrd-qc=***",8820,"AT5G16630"
"g00108","scaffold_1",508571,512540,0.27,"-",".","Protein TIC 40%2C chloroplastic","ahrd-qc=***",3969,"AT5G16620"
"g00109","scaffold_1",515775,519343,0.09,"+",".","AT5g16610/MTG13_5","ahrd-qc=***",3568,"AT5G16610"
"g00110","scaffold_1",522878,525177,0.67,"-",".","MYB transcription factor","ahrd-qc=***",2299,"AT5G16600"
"g00111","scaffold_1",527192,530766,0.27,"+",".","Unknown protein","",3574,NA
"g00113","scaffold_1",541722,544439,0.3,"+",".","Beta-glucosidase 3","ahrd-qc=***",2717,NA
"g00114","scaffold_1",545312,548256,0.55,"+",".","Glutamine synthetase","ahrd-qc=***",2944,"AT5G16570"
"g00115","scaffold_1",566602,571123,0.09,"+",".","KANADI like transcription factor","ahrd-qc=***",4521,"AT5G16560"
"g00116","scaffold_1",571333,572707,0.07,"-",".","BnaA02g03120D protein","ahrd-qc=***",1374,NA
"g00117","scaffold_1",572852,574169,0.07,"+",".","Unknown protein","",1317,NA
"g00118","scaffold_1",574524,576807,0.06,"-",".","Zinc finger CCCH domain-containing protein 57","ahrd-qc=***",2283,NA
"g00119","scaffold_1",580233,581607,0.12,"-",".","BnaA02g03120D protein","ahrd-qc=***",1374,"AT5G16550"
"g00120","scaffold_1",581772,583067,0.07,"+",".","Unknown protein","",1295,NA
"g00121","scaffold_1",583422,585677,0.08,"-",".","Zinc finger CCCH domain-containing protein 57","ahrd-qc=***",2255,"AT5G16540"
"g00122","scaffold_1",586651,588487,0.18,"-",".","Auxin efflux carrier component","ahrd-qc=***",1836,"AT5G16530"
"g00123","scaffold_1",591682,595294,0.24,"+",".","At5g16520","ahrd-qc=***",3612,"AT5G16520"
"g00124","scaffold_1",595383,597257,0.56,"-",".","Alpha-1%2C4-glucan-protein synthase [UDP-forming]%2C putative","ahrd-qc=***",1874,"AT5G16510"
"g00126","scaffold_1",604082,606592,0.08,"+",".","Protein kinase family protein","ahrd-qc=***",2510,"AT5G16500"
"g00127","scaffold_1",613972,614976,0.27,"+",".","CRIB domain-containing protein RIC4","ahrd-qc=***",1004,"AT5G16490"
"g00128","scaffold_1",618578,619207,0.63,"-",".","Unknown protein","",629,"AT5G16470"
"g00129","scaffold_1",619772,621849,0.06,"+",".","Seipin-1","ahrd-qc=***",2077,"AT5G16460"
"g00130","scaffold_1",622802,623279,0.45,"+",".","Defensin-like protein 24","ahrd-qc=***",477,"AT5G16453"
"g00131","scaffold_1",623401,624867,0.15,"-",".","4-hydroxy-4-methyl-2-oxoglutarate aldolase","ahrd-qc=***",1466,"AT5G16450"
"g00132","scaffold_1",624950,627297,0.2,"-",".","Isopentenyl-diphosphate Delta-isomerase II","ahrd-qc=***",2347,"AT5G16440"
"g00133","scaffold_1",631253,633167,0.2,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",1914,"AT5G16420"
"g00134","scaffold_1",633292,635127,0.23,"+",".","HXXXD-type acyl-transferase","ahrd-qc=***",1835,"AT5G16410"
"g00135","scaffold_1",635462,637134,0.12,"+",".","Thioredoxin F2%2C chloroplastic","ahrd-qc=***",1672,"AT5G16400"
"g00136","scaffold_1",637762,640159,0.3,"+",".","Biotin carboxyl carrier protein of acetyl-CoA carboxylase 1%2C chloroplastic","ahrd-qc=***",2397,"AT5G16390"
"g00137","scaffold_1",640332,641580,0.34,"+",".","Gb|AAF02163.1","ahrd-qc=***",1248,"AT5G16380"
"g00139","scaffold_1",644872,646078,0.15,"+",".","Gb|AAF32477.1","ahrd-qc=***",1206,NA
"g00140","scaffold_1",646182,648162,0.24,"+",".","Acyl-CoA synthetase","ahrd-qc=***",1980,"AT5G16370"
"g00141","scaffold_1",648672,649868,0.31,"+",".","Gb|AAF32477.1","ahrd-qc=***",1196,"AT5G16360"
"g00142","scaffold_1",649888,652307,0.27,"-",".","O-acyltransferase (WSD1-like) family protein","ahrd-qc=***",2419,NA
"g00143","scaffold_1",665442,669182,0.07,"+",".","NC domain-containing family protein","ahrd-qc=***",3740,"AT5G16330"
"g00144","scaffold_1",669186,670717,0.53,"-",".","FRIGIDA-like protein 1","ahrd-qc=***",1531,"AT5G16320"
"g00145","scaffold_1",670882,672768,0.65,"+",".","Ubiquitin carboxyl-terminal hydrolase","ahrd-qc=***",1886,"AT5G16310"
"g00146","scaffold_1",672783,677197,0.22,"-",".","Vps51/Vps67 family (Components of vesicular transport) protein","ahrd-qc=***",4414,"AT5G16300"
"g00147","scaffold_1",677497,681577,0.08,"-",".","Acetolactate synthase small subunit","ahrd-qc=***",4080,"AT5G16290"
"g00148","scaffold_1",682862,684400,0.22,"+",".","F-box family protein","ahrd-qc=***",1538,NA
"g00149","scaffold_1",684842,693140,0.43,"+",".","Trafficking particle complex subunit 8","ahrd-qc=***",8298,"AT5G16280"
"g00150","scaffold_1",693861,700387,0.33,"-",".","Sister chromatid cohesion 1 protein 4","ahrd-qc=***",6526,"AT5G16270"
"g00151","scaffold_1",701012,705647,0.34,"-",".","HIV Tat-specific factor 1 like","ahrd-qc=***",4635,"AT5G16260"
"g00152","scaffold_1",705942,706852,0.45,"+",".","AT5g16250/T21H19_170","ahrd-qc=***",910,"AT5G16250"
"g00153","scaffold_1",706946,709957,0.31,"-",".","Acyl-[acyl-carrier-protein] desaturase","ahrd-qc=***",3011,"AT5G16240"
"g00154","scaffold_1",712672,714335,0.11,"-",".","Acyl-[acyl-carrier-protein] desaturase","ahrd-qc=***",1663,"AT5G16230"
"g00155","scaffold_1",721424,722075,0.34,"-",".","Monothiol glutaredoxin-S3","ahrd-qc=***",651,NA
"g00156","scaffold_1",726360,728660,0.29,"+",".","Octicosapeptide/Phox/Bem1p domain-containing protein","ahrd-qc=***",2300,"AT5G16220"
"g00158","scaffold_1",730230,737385,0.17,"+",".","LisH domain and HEAT repeat KIAA1468-like protein","ahrd-qc=***",7155,"AT5G16210"
"g00159","scaffold_1",738370,738990,0.54,"+",".","50S ribosomal protein related protein","ahrd-qc=***",620,"AT5G16200"
"g00161","scaffold_1",783800,785723,0.43,"+",".","AT5g16110","ahrd-qc=***",1923,"AT5G16110"
"g00162","scaffold_1",786980,791451,0.23,"+",".","Ubiquitin receptor RAD23c","ahrd-qc=*-*",4471,"AT5G16100"
"g00163","scaffold_1",794320,795693,0.32,"+",".","Acetyl esterase","ahrd-qc=***",1373,"AT5G16080"
"g00164","scaffold_1",796820,800565,0.55,"+",".","T-complex protein 1 subunit zeta 2","ahrd-qc=***",3745,"AT5G16070"
"g00165","scaffold_1",800602,802185,0.33,"-",".","COX assembly mitochondrial protein 2","ahrd-qc=--*",1583,"AT5G16060"
"g00166","scaffold_1",802410,804464,0.06,"+",".","14-3-3-like protein GF14 nu","ahrd-qc=***",2054,"AT5G16050"
"g00167","scaffold_1",804950,807681,0.15,"+",".","Regulator of chromosome condensation (RCC1) family protein","ahrd-qc=***",2731,"AT5G16040"
"g00168","scaffold_1",807715,810115,0.7,"-",".","BnaA10g18290D protein","ahrd-qc=***",2400,"AT5G16030"
"g00169","scaffold_1",815906,818765,0.42,"-",".","Protein GAMETE EXPRESSED 3","ahrd-qc=***",2859,"AT5G16020"
"g00170","scaffold_1",819032,820235,0.11,"-",".","3-oxo-5-alpha-steroid 4-dehydrogenase family protein","ahrd-qc=***",1203,"AT5G16010"
"g00171","scaffold_1",820992,824165,0.2,"-",".","Receptor-like kinase","ahrd-qc=***",3173,"AT5G16000"
"g00172","scaffold_1",826727,827515,0.21,"-",".","Non-LTR retroelement reverse transcriptase-like","ahrd-qc=*-*",788,NA
"g00173","scaffold_1",832809,835095,0.56,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",2286,"AT5G15980"
"g00174","scaffold_1",835601,836275,1,"-",".","Stress-induced protein KIN1","ahrd-qc=***",674,"AT5G15970"
"g00176","scaffold_1",849298,851435,0.89,"-",".","S-adenosylmethionine decarboxylase proenzyme 2","ahrd-qc=***",2137,"AT5G15950"
"g00177","scaffold_1",852746,855895,0.24,"-",".","Rossmann-fold NAD(P)-binding domain-containing protein","ahrd-qc=***",3149,"AT5G15940"
"g00178","scaffold_1",856089,858565,0.46,"-",".","TBC1 domain family member","ahrd-qc=***",2476,"AT5G15930"
"g00179","scaffold_1",858680,862675,0.17,"-",".","Structural maintenance of chromosomes protein 5","ahrd-qc=***",3995,"AT5G15920"
"g00180","scaffold_1",862952,865215,0.34,"-",".","NAD(P)-binding Rossmann-fold superfamily protein","ahrd-qc=***",2263,"AT5G15910"
"g00181","scaffold_1",867370,870738,0.19,"+",".","Protein trichome birefringence-like 19","ahrd-qc=***",3368,"AT5G15900"
"g00182","scaffold_1",870759,872775,0.21,"-",".","Laminin subunit gamma-1","ahrd-qc=***",2016,"AT5G15880"
"g00183","scaffold_1",874400,876837,0.39,"+",".","Beta-glucan-binding protein 4","ahrd-qc=***",2437,"AT5G15870"
"g00185","scaffold_1",882650,884154,0.09,"+",".","Zinc finger protein CONSTANS-LIKE 1","ahrd-qc=***",1504,"AT5G15850"
"g00187","scaffold_1",887590,889165,0.09,"+",".","Constans-like protein","ahrd-qc=***",1575,"AT5G15840"
"g00188","scaffold_1",891673,892465,0.34,"-",".","At5g15830","ahrd-qc=***",792,"AT5G15830"
"g00189","scaffold_1",906689,907977,0.07,"-",".","AT5g15820/F14F8_200","ahrd-qc=***",1288,"AT5G15820"
"g00190","scaffold_1",908397,911887,0.44,"-",".","N2%2CN2-dimethylguanosine tRNA methyltransferase","ahrd-qc=***",3490,"AT5G15810"
"g00191","scaffold_1",912152,913395,0.28,"+",".","Unknown protein","",1243,"AT5G15802"
"g00192","scaffold_1",916752,919283,0.55,"+",".","MADS-box transcription factor","ahrd-qc=***",2531,"AT5G15800"
"g00193","scaffold_1",919328,921867,0.42,"-",".","RING-finger ubiquitin ligase","ahrd-qc=***",2539,"AT5G15790"
"g00194","scaffold_1",929092,930604,0.71,"+",".","BnaA10g18500D protein","ahrd-qc=***",1512,"AT5G15780"
"g00195","scaffold_1",930812,931534,0.3,"+",".","Glucosamine 6-phosphate N-acetyltransferase","ahrd-qc=***",722,"AT5G15770"
"g00196","scaffold_1",931553,932867,0.07,"-",".","30S ribosomal protein 3-2%2C chloroplastic","ahrd-qc=***",1314,"AT5G15760"
"g00197","scaffold_1",933144,934867,0.41,"-",".","U3 small nucleolar ribonucleoprotein IMP3","ahrd-qc=***",1723,"AT5G15750"
"g00198","scaffold_1",935072,935920,0.11,"+",".","Unknown protein","",848,NA
"g00200","scaffold_1",940882,943874,0.13,"+",".","O-fucosyltransferase-like protein","ahrd-qc=***",2992,"AT5G15740"
"g00201","scaffold_1",945198,948037,0.23,"-",".","Calcium/calmodulin-regulated receptor-like kinase 2","ahrd-qc=***",2839,"AT5G15730"
"g00202","scaffold_1",948972,949877,0.1,"-",".","Unknown protein","",905,"AT5G15725"
"g00203","scaffold_1",951092,952832,0.16,"+",".","GDSL esterase/lipase 7","ahrd-qc=***",1740,"AT5G15720"
"g00204","scaffold_1",953022,954937,0.46,"-",".","F-box/kelch-repeat protein","ahrd-qc=***",1915,"AT5G15710"
"g00205","scaffold_1",955582,962051,0.06,"+",".","DNA-directed RNA polymerase","ahrd-qc=***",6469,"AT5G15700"
"g00206","scaffold_1",963042,973116,0.24,"+",".","Cell morphogenesis related protein","ahrd-qc=***",10074,"AT5G15680"
"g00207","scaffold_1",973619,976007,0.15,"-",".","F-box family protein","ahrd-qc=***",2388,"AT5G15660"
"g00208","scaffold_1",976363,978597,0.61,"-",".","Alpha-1%2C4-glucan-protein synthase [UDP-forming] 2","ahrd-qc=***",2234,"AT5G15650"
"g00209","scaffold_1",982347,984777,0.32,"-",".","Mitochondrial carrier family protein","ahrd-qc=***",2430,"AT5G15640"
"g00210","scaffold_1",985051,989527,0.03,"-",".","COBRA-like protein 4","ahrd-qc=***",4476,"AT5G15630"
"g00211","scaffold_1",989661,992257,0.22,"-",".","Eukaryotic translation initiation factor 3 subunit M","ahrd-qc=***",2596,"AT5G15610"
"g00212","scaffold_1",992677,993487,0.45,"-",".","Protein SPIRAL1-like 4","ahrd-qc=***",810,"AT5G15600"
"g00213","scaffold_1",1010902,1014570,0.14,"+",".","Protein LONGIFOLIA 1","ahrd-qc=***",3668,"AT5G15580"
"g00214","scaffold_1",1014697,1016697,0.19,"-",".","Bromodomain transcription factor","ahrd-qc=***",2000,"AT5G15570"
"g00215","scaffold_1",1019502,1022836,0.25,"+",".","Ribosome biogenesis protein WDR12 homolog","ahrd-qc=***",3334,"AT5G15550"
"g00216","scaffold_1",1024122,1034221,0.07,"+",".","Sister chromatid cohesion 2","ahrd-qc=***",10099,"AT5G15540"
"g00217","scaffold_1",1035492,1037497,0.32,"-",".","Biotin carboxyl carrier protein of acetyl-CoA carboxylase 2%2C chloroplastic","ahrd-qc=***",2005,"AT5G15530"
"g00219","scaffold_1",1041162,1042263,0.81,"+",".","40S ribosomal protein S19-2","ahrd-qc=***",1101,"AT5G15520"
"g00220","scaffold_1",1042486,1045417,0.31,"-",".","TPX2 (Targeting protein for Xklp2) family protein","ahrd-qc=***",2931,"AT5G15510"
"g00221","scaffold_1",1045942,1047751,0.12,"+",".","Ankyrin repeat-containing protein","ahrd-qc=***",1809,"AT5G15500"
"g00222","scaffold_1",1049762,1052309,0.6,"+",".","UDP-glucose 6-dehydrogenase 3","ahrd-qc=***",2547,"AT5G15490"
"g00223","scaffold_1",1052622,1054337,0.13,"+",".","C2H2-type zinc finger family protein","ahrd-qc=***",1715,"AT5G15480"
"g00224","scaffold_1",1055152,1058751,0.02,"+",".","Hexosyltransferase","ahrd-qc=***",3599,"AT5G15470"
"g00225","scaffold_1",1059212,1061159,0.12,"+",".","Membrane-anchored ubiquitin-fold protein 2","ahrd-qc=***",1947,"AT5G15460"
"g00226","scaffold_1",1061412,1065487,0.3,"+",".","Chaperone clpb%2C putative","ahrd-qc=***",4075,"AT5G15450"
"g00227","scaffold_1",1065490,1067747,0.16,"-",".","EID1-like F-box protein 1","ahrd-qc=***",2257,"AT5G15440"
"g00228","scaffold_1",1067892,1071117,0.13,"-",".","At5g15430","ahrd-qc=***",3225,"AT5G15430"
"g00229","scaffold_1",1072351,1075127,0.22,"-",".","Retroelement pol polyprotein-like","ahrd-qc=***",2776,NA
"g00230","scaffold_1",1078519,1082072,0.79,"+",".","Cyclic nucleotide-gated ion channel 2","ahrd-qc=***",3553,"AT5G15410"
"g00231","scaffold_1",1083799,1089370,0.98,"+",".","Ubiquitin conjugation factor E4%2C putative","ahrd-qc=***",5571,"AT5G15400"
"g00232","scaffold_1",1089600,1091824,0.08,"-",".","23S rRNA (guanosine-2'-O-)-methyltransferase RlmB","ahrd-qc=*-*",2224,"AT5G15390"
"g00233","scaffold_1",1091977,1096564,0.18,"-",".","DNA (cytosine-5)-methyltransferase DRM1","ahrd-qc=***",4587,"AT5G15380"
"g00234","scaffold_1",1100879,1102131,0.13,"+",".","Lamin-like protein","ahrd-qc=***",1252,"AT5G15350"
"g00235","scaffold_1",1105094,1106764,0.55,"-",".","SPX domain-containing protein 4","ahrd-qc=***",1670,"AT5G15330"
"g00236","scaffold_1",1113118,1114414,0.94,"-",".","Unknown protein","",1296,NA
"g00237","scaffold_1",1116421,1117994,0.76,"-",".","Myb transcription factor mixta-like protein","ahrd-qc=***",1573,"AT5G15310"
"g00238","scaffold_1",1121989,1123858,0.11,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",1869,"AT5G15300"
"g00239","scaffold_1",1123889,1124954,0.3,"-",".","Casparian strip membrane protein 5","ahrd-qc=***",1065,"AT5G15290"
